CUPS;PERIODO;POTENCIA CONTRATADA (kW)
ES0339000001001480GM;1;3,45
ES0339000001001490GS;1;1,15
ES0339000001001491GQ;1;5,75
ES0339000001001530YD;1;4,4
ES0339000001001560FQ;1;5,75
ES0339000001001571PG;1;3,45
ES0339000001001590DT;1;4,4
ES0339000001001600DX;1;4,4
ES0339000001001630XV;1;4,4
ES0339000001001632XL;1;3,3
ES0339000001001640BG;1;4,6
ES0339000001001660NR;1;5,5
ES0339000001001680NK;1;4,6
ES0339000001001700JH;1;3,3
ES0339000001001702JC;1;3,45
ES0339000001001710ZM;1;3,3
ES0339000001001730SW;1;5,75
ES0339000001001731SA;1;3,3
ES0339000001001770QL;1;4,6
ES0339000001001772QK;1;4,6
ES0339000001001789VS;1;3,3
ES0339000001001791VV;1;5,5
ES0339000001001801HG;1;4,6
ES0339000001001802HM;1;6,9
ES0339000001001805HP;1;4,4
ES0339000001001840LC;1;4,6
ES0339000001001850CF;1;4,6
ES0339000001001860CV;1;1,15
ES0339000001001870KG;1;3,45
ES0339000001001880KZ;1;3,3
ES0339000001001882KQ;1;3,3
ES0339000001001883KV;1;4,4
ES0339000001001884KH;1;4,6
ES0339000001001885KL;1;3,45
ES0339000001001892EA;1;3,45
ES0339000001001900EB;1;3,3
ES0339000001001901EN;1;3,3
ES0339000001001930TH;1;4,6
ES0339000001001932TC;1;4,4
ES0339000001001950RS;1;1,72
ES0339000001001952RV;1;3,45
ES0339000001001980WE;1;4,6
ES0339000001002000AL;1;26,3
ES0339000001002000AL;2;26,3
ES0339000001002000AL;3;26,3
ES0339000001002001AC;1;4,4
ES0339000001002002AK;1;3,45
ES0339000001002003AE;1;4,6
ES0339000001002004GT;1;4,6
ES0339000001002005GR;1;4,6
ES0339000001002006GW;1;4,6
ES0339000001002007GA;1;4,6
ES0339000001002008GG;1;4,4
ES0339000001002020GQ;1;4,4
ES0339000001002030MA;1;5,5
ES0339000001002031MG;1;6,9
ES0339000001002040MJ;1;3,45
ES0339000001002050YT;1;3,3
ES0339000001002060YX;1;3,3
ES0339000001002070YC;1;6,57
ES0339000001002100PG;1;4,93
ES0339000001002101PM;1;2,2
ES0339000001002120DR;1;5,5
ES0339000001002121DW;1;8,05
ES0339000001002122DA;1;2,3
ES0339000001002124DM;1;3,3
ES0339000001002131DN;1;4,4
ES0339000001002150XP;1;5,75
ES0339000001002151XD;1;4,6
ES0339000001002153XB;1;4,4
ES0339000001002170BM;1;4,4
ES0339000001002210NE;1;4,6
ES0339000001002232JK;1;3,3
ES0339000001002234ZT;1;6,57
ES0339000001002260SA;1;3,3
ES0339000001002270SJ;1;4,4
ES0339000001002280QT;1;4,4
ES0339000001002301QK;1;4,6
ES0339000001002320VV;1;4,6
ES0339000001002321VH;1;4,6
ES0339000001002330HG;1;2,3
ES0339000001002371LE;1;1,1
ES0339000001002372CT;1;13,85
ES0339000001002380CP;1;3,45
ES0339000001002385CJ;1;6,9
ES0339000001002390CH;1;1,97
ES0339000001002450TD;1;4,4
ES0339000001002460TL;1;1,15
ES0339000001002462TK;1;1,97
ES0339000001002464RT;1;9,86
ES0339000001002535GW;1;19,72
ES0339000001002535GW;2;19,72
ES0339000001002535GW;3;19,72
ES0339000001002540GF;1;5,75
ES0339000001002544GB;1;6,92
ES0339000001002545GN;1;10,39
ES0339000001002550GV;1;15,01
ES0339000001002550GV;2;15,01
ES0339000001002550GV;3;15,01
ES0339000001002551GH;1;4,4
ES0339000001002552GL;1;5,19
ES0339000001002553GC;1;4,4
ES0339000001002554GK;1;3,3
ES0339000001002555GE;1;6,92
ES0339000001002557MR;1;2,07
ES0339000001002557MR;2;2,07
ES0339000001002558MW;1;3,3
ES0339000001002559MA;1;6,92
ES0339000001002559MA;2;6,92
ES0339000001002560MG;1;16,5
ES0339000001002560MG;2;16,5
ES0339000001002560MG;3;16,5
ES0339000001002561MM;1;20
ES0339000001002561MM;2;20
ES0339000001002561MM;3;20
ES0339000001002562MY;1;4,4
ES0339000001002563MF;1;4,6
ES0339000001002564MP;1;3,3
ES0339000001002565MD;1;5,19
ES0339000001002567MB;1;6,57
ES0339000001002568MN;1;6,92
ES0339000001002569MJ;1;3,46
ES0339000001002569MJ;2;3,46
ES0339000001002570MZ;1;4,56
ES0339000001002572MQ;1;23,01
ES0339000001002572MQ;2;23,01
ES0339000001002572MQ;3;23,01
ES0339000001002573MV;1;3,45
ES0339000001002574MH;1;6,92
ES0339000001002576MC;1;15,01
ES0339000001002576MC;2;15,01
ES0339000001002576MC;3;15,01
ES0339000001002590YB;1;6,57
ES0339000001002600YK;1;3,46
ES0339000001002600YK;2;3,46
ES0339000001002601YE;1;3,3
ES0339000001002602FT;1;3,3
ES0339000001002620FH;1;15
ES0339000001002627PW;1;3,3
ES0339000001002629PG;1;3,3
ES0339000001002631PY;1;2,2
ES0339000001002632PF;1;2,43
ES0339000001002634PD;1;4,4
ES0339000001002635PX;1;5,5
ES0339000001002636PB;1;6,57
ES0339000001002637PN;1;4,4
ES0339000001002638PJ;1;3,45
ES0339000001002639PZ;1;3,3
ES0339000001002641PQ;1;3,45
ES0339000001002642PV;1;6,92
ES0339000001002643PH;1;4,5
ES0339000001002644PL;1;4,4
ES0339000001002645PC;1;3,3
ES0339000001002646PK;1;3,3
ES0339000001002647PE;1;3,3
ES0339000001002648DT;1;3,3
ES0339000001002649DR;1;3,45
ES0339000001002650DW;1;140
ES0339000001002650DW;2;140
ES0339000001002650DW;3;140
ES0339000001002657DD;1;2,07
ES0339000001002665DV;1;4,6
ES0339000001002666DH;1;3,3
ES0339000001002675XG;1;16,44
ES0339000001002675XG;2;16,44
ES0339000001002675XG;3;16,44
ES0339000001002676XM;1;15,1
ES0339000001002676XM;2;15,1
ES0339000001002676XM;3;15,1
ES0339000001002700BY;1;20,5
ES0339000001002700BY;2;20,5
ES0339000001002700BY;3;20,5
ES0339000001002705BB;1;4,6
ES0339000001002710BQ;1;2,3
ES0339000001002720NA;1;15,2
ES0339000001002720NA;2;15,2
ES0339000001002720NA;3;15,2
ES0339000001002721NG;1;6,08
ES0339000001002722NM;1;6,92
ES0339000001002722NM;2;6,92
ES0339000001002760JC;1;45,6
ES0339000001002760JC;2;45,6
ES0339000001002760JC;3;45,6
ES0339000001002761JK;1;6,57
ES0339000001002764ZR;1;10,39
ES0339000001002767ZG;1;29,58
ES0339000001002767ZG;2;29,58
ES0339000001002767ZG;3;29,58
ES0339000001002768ZM;1;4,6
ES0339000001002769ZY;1;4,4
ES0339000001002770ZF;1;3,45
ES0339000001002771ZP;1;4,4
ES0339000001002772ZD;1;3,45
ES0339000001002773ZX;1;4,4
ES0339000001002774ZB;1;4,4
ES0339000001002775ZN;1;4,6
ES0339000001002781ZH;1;5,75
ES0339000001002790SG;1;6,92
ES0339000001002801SS;1;1,1
ES0339000001002802SQ;1;4,6
ES0339000001002803SV;1;4,4
ES0339000001002804SH;1;4,4
ES0339000001002805SL;1;4,4
ES0339000001002806SC;1;3,45
ES0339000001002810QR;1;3,45
ES0339000001002836VG;1;2,3
ES0339000001002837VM;1;9,86
ES0339000001002838VY;1;4,6
ES0339000001002839VF;1;3,46
ES0339000001002840VP;1;4,6
ES0339000001002840VP;2;4,6
ES0339000001002841VD;1;4,4
ES0339000001002842VX;1;3,45
ES0339000001002843VB;1;3,3
ES0339000001002844VN;1;3,3
ES0339000001002845VJ;1;3,3
ES0339000001002846VZ;1;1,1
ES0339000001002847VS;1;5,75
ES0339000001002848VQ;1;5,75
ES0339000001002850VH;1;4,4
ES0339000001002851VL;1;3,45
ES0339000001002859HG;1;1,15
ES0339000001002861HY;1;9,86
ES0339000001002863HP;1;4,4
ES0339000001002864HD;1;9,2
ES0339000001002865HX;1;4,93
ES0339000001002867HN;1;4,6
ES0339000001002868HJ;1;4,4
ES0339000001002869HZ;1;4,6
ES0339000001002870HS;1;3,45
ES0339000001002872HV;1;6,6
ES0339000001002874HL;1;3,45
ES0339000001002875HC;1;5,75
ES0339000001002876HK;1;4,6
ES0339000001002877HE;1;3,45
ES0339000001002880LW;1;4,6
ES0339000001002881LA;1;7,7
ES0339000001002882LG;1;5,5
ES0339000001002883LM;1;3,3
ES0339000001002884LY;1;5,5
ES0339000001002885LF;1;5,75
ES0339000001002886LP;1;5,19
ES0339000001002887LD;1;3,45
ES0339000001002888LX;1;3,45
ES0339000001002889LB;1;4,6
ES0339000001002890LN;1;3,3
ES0339000001002891LJ;1;5,75
ES0339000001002892LZ;1;3,3
ES0339000001002894LQ;1;4,6
ES0339000001002895LV;1;3,3
ES0339000001002896LH;1;3,3
ES0339000001002897LL;1;4,6
ES0339000001002898LC;1;5,5
ES0339000001002899LK;1;3,3
ES0339000001002900LE;1;5,5
ES0339000001002901CT;1;3,3
ES0339000001002902CR;1;3,3
ES0339000001002903CW;1;5,5
ES0339000001002904CA;1;4,4
ES0339000001002906CM;1;4,4
ES0339000001002907CY;1;4,4
ES0339000001002908CF;1;1,15
ES0339000001002909CP;1;3,45
ES0339000001002910CD;1;3,45
ES0339000001002911CX;1;23,6
ES0339000001002911CX;2;23,6
ES0339000001002911CX;3;23,6
ES0339000001002912CB;1;3,3
ES0339000001002913CN;1;5,5
ES0339000001002914CJ;1;5,75
ES0339000001002915CZ;1;4,4
ES0339000001002916CS;1;18,1
ES0339000001002916CS;2;18,1
ES0339000001002916CS;3;18,1
ES0339000001002918CV;1;9,86
ES0339000001002921CC;1;9,86
ES0339000001002950EA;1;4,4
ES0339000001002952EM;1;4,6
ES0339000001002953EY;1;4,4
ES0339000001002960EJ;1;2,3
ES0339000001002970TT;1;1,15
ES0339000001002971TR;1;4,6
ES0339000001002972TW;1;3,3
ES0339000001002974TG;1;3,3
ES0339000001002975TM;1;1,15
ES0339000001002976TY;1;3,3
ES0339000001002977TF;1;3,3
ES0339000001002978TP;1;1,1
ES0339000001002979TD;1;3,45
ES0339000001002980TX;1;2,2
ES0339000001002981TB;1;2,2
ES0339000001002982TN;1;4,6
ES0339000001002983TJ;1;3,3
ES0339000001002984TZ;1;3,3
ES0339000001002985TS;1;3,3
ES0339000001002986TQ;1;3,3
ES0339000001002987TV;1;3,3
ES0339000001002988TH;1;6,57
ES0339000001002989TL;1;3,3
ES0339000001002990TC;1;4,6
ES0339000001002991TK;1;5,75
ES0339000001002992TE;1;3,45
ES0339000001002993RT;1;3,3
ES0339000001002994RR;1;4,6
ES0339000001002995RW;1;4,6
ES0339000001002996RA;1;3,3
ES0339000001002997RG;1;4,6
ES0339000001002999RY;1;2,3
ES0339000001003000RF;1;3,3
ES0339000001003001RP;1;4,6
ES0339000001003002RD;1;4,4
ES0339000001003005RN;1;4,4
ES0339000001003008RS;1;4,6
ES0339000001003009RQ;1;4,6
ES0339000001003010RV;1;4,6
ES0339000001003020WG;1;5,5
ES0339000001003022WY;1;3,3
ES0339000001003025WD;1;3,3
ES0339000001003027WB;1;4,6
ES0339000001003030WZ;1;4,4
ES0339000001003031WS;1;4,4
ES0339000001003050AB;1;4,4
ES0339000001003061AE;1;4,4
ES0339000001003062GT;1;3,45
ES0339000001003070GP;1;4,4
ES0339000001003090MM;1;4,6
ES0339000001003110YW;1;1,15
ES0339000001003115YF;1;3,45
ES0339000001003120YN;1;4,4
ES0339000001003130YE;1;3,3
ES0339000001003135FG;1;4,4
ES0339000001003141FX;1;4,4
ES0339000001003150FL;1;3,3
ES0339000001003152FK;1;3,45
ES0339000001003153FE;1;3,3
ES0339000001003178DR;1;4,6
ES0339000001003180DA;1;3,3
ES0339000001003181DG;1;3,45
ES0339000001003190DJ;1;3,45
ES0339000001003201XR;1;5,5
ES0339000001003202XW;1;3,45
ES0339000001003203XA;1;4,6
ES0339000001003210XX;1;4,4
ES0339000001003228BM;1;3,45
ES0339000001003230BF;1;4,6
ES0339000001003250NG;1;11,42
ES0339000001003280JB;1;6,92
ES0339000001003299ZF;1;3,3
ES0339000001003302ZX;1;3,3
ES0339000001003340QW;1;3,3
ES0339000001003370VD;1;16
ES0339000001003370VD;2;19,72
ES0339000001003370VD;3;19,72
ES0339000001003375VZ;1;3,3
ES0339000001003376VS;1;3,45
ES0339000001003380VL;1;4,4
ES0339000001003390HY;1;5,5
ES0339000001003400HQ;1;4,4
ES0339000001003430CT;1;3,3
ES0339000001003450CC;1;3,29
ES0339000001003470KV;1;1,52
ES0339000001003480EG;1;4,4
ES0339000001003531RD;1;1,15
ES0339000001003540RH;1;1,15
ES0339000001003580AN;1;3,45
ES0339000001003600GD;1;3,3
ES0339000001003605GZ;1;3,45
ES0339000001003610GL;1;4,6
ES0339000001003615MR;1;2,2
ES0339000001003620MY;1;1,15
ES0339000001003630MQ;1;4,4
ES0339000001003650YJ;1;3,45
ES0339000001003660FT;1;3,3
ES0339000001003680FC;1;4,6
ES0339000001003690PF;1;3,3
ES0339000001003700PV;1;3,45
ES0339000001003710DG;1;4,6
ES0339000001003721DS;1;4,4
ES0339000001003730XR;1;3,45
ES0339000001003731XW;1;4,4
ES0339000001003740XB;1;2,3
ES0339000001003741XN;1;5,57
ES0339000001003742XJ;1;3,3
ES0339000001003743XZ;1;4,6
ES0339000001003744XS;1;3,3
ES0339000001003745XQ;1;3,3
ES0339000001003750XK;1;3,45
ES0339000001003752BT;1;4,6
ES0339000001003753BR;1;5,5
ES0339000001003759BF;1;5,5
ES0339000001003761BD;1;4,4
ES0339000001003770BH;1;5,5
ES0339000001003780NM;1;1,15
ES0339000001003790NS;1;13,85
ES0339000001003790NS;2;13,85
ES0339000001003795NC;1;5,75
ES0339000001003800JW;1;1,15
ES0339000001003801JA;1;6,92
ES0339000001003802JG;1;4,6
ES0339000001003804JY;1;3,3
ES0339000001003805JF;1;4,4
ES0339000001003810JN;1;5,75
ES0339000001003812JZ;1;3,3
ES0339000001003814JQ;1;1,1
ES0339000001003815JV;1;3,3
ES0339000001003822ZR;1;6,92
ES0339000001003845SR;1;2,2
ES0339000001003846SW;1;5,75
ES0339000001003849SM;1;3,3
ES0339000001003850SY;1;3,46
ES0339000001003852SP;1;4,93
ES0339000001003853SD;1;3,45
ES0339000001003854SX;1;1,15
ES0339000001003855SB;1;3,3
ES0339000001003856SN;1;4,4
ES0339000001003857SJ;1;3,3
ES0339000001003859SS;1;4,6
ES0339000001003861SV;1;6,9
ES0339000001003862SH;1;4,4
ES0339000001003863SL;1;3,45
ES0339000001003864SC;1;4,4
ES0339000001003865SK;1;2,08
ES0339000001003867QT;1;4,4
ES0339000001003868QR;1;3,3
ES0339000001003869QW;1;1,1
ES0339000001003870QA;1;4,4
ES0339000001003880QJ;1;3,45
ES0339000001003890VT;1;3,3
ES0339000001003901VB;1;3,45
ES0339000001003902VN;1;4,4
ES0339000001003910VC;1;3,3
ES0339000001003911VK;1;3,3
ES0339000001003920HF;1;4,6
ES0339000001003930HV;1;3,3
ES0339000001003940LG;1;3,3
ES0339000001003950LZ;1;4,4
ES0339000001003960CR;1;5,5
ES0339000001003962CA;1;5,75
ES0339000001003971CN;1;2,3
ES0339000001003980CK;1;5,5
ES0339000001003990KP;1;3,3
ES0339000001003992KX;1;3,45
ES0339000001004000KH;1;1,15
ES0339000001004010EM;1;4,4
ES0339000001004011EY;1;4,6
ES0339000001004013EP;1;4,4
ES0339000001004030TW;1;3,3
ES0339000001004040TN;1;4,4
ES0339000001004050TE;1;2,54
ES0339000001004060RD;1;3,3
ES0339000001004070RL;1;4,93
ES0339000001004100AA;1;15,01
ES0339000001004100AA;2;15,01
ES0339000001004100AA;3;15,01
ES0339000001004191FW;1;8,05
ES0339000001004200FB;1;9,2
ES0339000001004205FQ;1;3,3
ES0339000001004210FK;1;3,45
ES0339000001004242DF;1;5,19
ES0339000001004297BQ;1;16,44
ES0339000001004297BQ;2;16,44
ES0339000001004297BQ;3;16,44
ES0339000001004310NY;1;3,3
ES0339000001004330JA;1;4,4
ES0339000001004350ZT;1;5,75
ES0339000001004360ZX;1;3,45
ES0339000001004370ZC;1;10,35
ES0339000001004392SL;1;4,4
ES0339000001004420VR;1;4,6
ES0339000001004422VA;1;3,3
ES0339000001004440VK;1;4,4
ES0339000001004451HD;1;5,08
ES0339000001004455HJ;1;4,4
ES0339000001004460HH;1;5,75
ES0339000001004470LM;1;4,6
ES0339000001004480LS;1;3,45
ES0339000001004490CW;1;4,4
ES0339000001004500CN;1;3,3
ES0339000001004520KD;1;4,4
ES0339000001004540EY;1;3,3
ES0339000001004550EQ;1;4,4
ES0339000001004560TA;1;4,4
ES0339000001004575TH;1;4,6
ES0339000001004580RT;1;4,4
ES0339000001004590RX;1;3,3
ES0339000001004600RC;1;1,15
ES0339000001004610WF;1;3,45
ES0339000001004620WV;1;5,5
ES0339000001004624WK;1;4,4
ES0339000001004625WE;1;3,45
ES0339000001004626AT;1;4,6
ES0339000001004627AR;1;5,75
ES0339000001004628AW;1;2,3
ES0339000001004629AA;1;4,6
ES0339000001004630AG;1;10,39
ES0339000001004630AG;2;10,39
ES0339000001004632AY;1;3,3
ES0339000001004633AF;1;5,75
ES0339000001004634AP;1;3,3
ES0339000001004635AD;1;3,3
ES0339000001004636AX;1;4,6
ES0339000001004637AB;1;3,3
ES0339000001004638AN;1;3,3
ES0339000001004639AJ;1;4,6
ES0339000001004641AS;1;3,3
ES0339000001004642AQ;1;3,3
ES0339000001004643AV;1;3,45
ES0339000001004644AH;1;3,3
ES0339000001004645AL;1;3,45
ES0339000001004646AC;1;3,45
ES0339000001004647AK;1;8,05
ES0339000001004648AE;1;3,3
ES0339000001004649GT;1;4,6
ES0339000001004651GW;1;4,4
ES0339000001004652GA;1;3,3
ES0339000001004653GG;1;3,3
ES0339000001004654GM;1;3,3
ES0339000001004655GY;1;1,1
ES0339000001004656GF;1;3,3
ES0339000001004657GP;1;3,3
ES0339000001004658GD;1;3,3
ES0339000001004659GX;1;4,6
ES0339000001004660GB;1;4,4
ES0339000001004661GN;1;4,4
ES0339000001004662GJ;1;4,4
ES0339000001004664GS;1;4,4
ES0339000001004665GQ;1;4,6
ES0339000001004666GV;1;1,1
ES0339000001004667GH;1;4,6
ES0339000001004668GL;1;4,4
ES0339000001004669GC;1;2,2
ES0339000001004670GK;1;1,1
ES0339000001004671GE;1;4,4
ES0339000001004672MT;1;4,6
ES0339000001004673MR;1;4,6
ES0339000001004675MA;1;3,3
ES0339000001004681MD;1;5,75
ES0339000001004683MB;1;3,3
ES0339000001004690MH;1;4,4
ES0339000001004692MC;1;3,3
ES0339000001004710YS;1;3,3
ES0339000001004741PT;1;3,3
ES0339000001004745PG;1;3,3
ES0339000001004750PD;1;4,6
ES0339000001004760PL;1;5,75
ES0339000001004762PK;1;4,4
ES0339000001004764DT;1;3,3
ES0339000001004770DY;1;4,4
ES0339000001004780DQ;1;4,4
ES0339000001004782DH;1;3,45
ES0339000001004790XA;1;4,93
ES0339000001004810BT;1;6,9
ES0339000001004821BB;1;4,4
ES0339000001004822BN;1;3,3
ES0339000001004830BC;1;4,4
ES0339000001004840NF;1;1,15
ES0339000001004850NV;1;3,3
ES0339000001004870JZ;1;4,6
ES0339000001004890ZB;1;4,6
ES0339000001004904SW;1;5,75
ES0339000001004920SH;1;1,15
ES0339000001004930QM;1;4,6
ES0339000001004939QZ;1;3,3
ES0339000001004995LR;1;3,3
ES0339000001005000LY;1;5,71
ES0339000001005001LF;1;5,19
ES0339000001005001LF;2;5,19
ES0339000001005002LP;1;13,85
ES0339000001005003LD;1;10,39
ES0339000001005006LN;1;1,97
ES0339000001005008LZ;1;3,29
ES0339000001005009LS;1;2,08
ES0339000001005010LQ;1;16,44
ES0339000001005010LQ;2;16,44
ES0339000001005010LQ;3;16,44
ES0339000001005011LV;1;9,86
ES0339000001005012LH;1;6,92
ES0339000001005013LL;1;6,57
ES0339000001005014LC;1;13,85
ES0339000001005015LK;1;15,1
ES0339000001005015LK;2;15,1
ES0339000001005015LK;3;15,1
ES0339000001005016LE;1;13,85
ES0339000001005017CT;1;2,2
ES0339000001005018CR;1;10,39
ES0339000001005020CA;1;4,6
ES0339000001005021CG;1;35,45
ES0339000001005021CG;2;49,9
ES0339000001005021CG;3;15,01
ES0339000001005022CM;1;3,29
ES0339000001005023CY;1;5,19
ES0339000001005024CF;1;38
ES0339000001005024CF;2;38
ES0339000001005024CF;3;38
ES0339000001005025CP;1;16,44
ES0339000001005025CP;2;16,44
ES0339000001005025CP;3;16,44
ES0339000001005027CX;1;6,93
ES0339000001005028CB;1;6,92
ES0339000001005030CJ;1;6,92
ES0339000001005031CZ;1;3,3
ES0339000001005032CS;1;8
ES0339000001005033CQ;1;15,2
ES0339000001005033CQ;2;15,2
ES0339000001005033CQ;3;15,2
ES0339000001005035CH;1;32
ES0339000001005035CH;2;32
ES0339000001005035CH;3;32
ES0339000001005037CC;1;9,2
ES0339000001005038CK;1;6,57
ES0339000001005039CE;1;17,32
ES0339000001005039CE;2;17,32
ES0339000001005039CE;3;17,32
ES0339000001005040KT;1;5,5
ES0339000001005041KR;1;3,46
ES0339000001005042KW;1;4,6
ES0339000001005044KG;1;5,75
ES0339000001005045KM;1;10,39
ES0339000001005046KY;1;15,01
ES0339000001005046KY;2;15,01
ES0339000001005046KY;3;15,01
ES0339000001005047KF;1;45
ES0339000001005047KF;2;45
ES0339000001005047KF;3;45
ES0339000001005048KP;1;6,92
ES0339000001005049KD;1;10,39
ES0339000001005051KB;1;6,57
ES0339000001005052KN;1;3,46
ES0339000001005054KZ;1;13,85
ES0339000001005055KS;1;17,32
ES0339000001005055KS;2;17,32
ES0339000001005055KS;3;17,32
ES0339000001005056KQ;1;4,93
ES0339000001005057KV;1;52
ES0339000001005057KV;2;52
ES0339000001005057KV;3;52
ES0339000001005058KH;1;3,3
ES0339000001005059KL;1;17,32
ES0339000001005059KL;2;17,32
ES0339000001005059KL;3;17,32
ES0339000001005060KC;1;10,39
ES0339000001005061KK;1;1,04
ES0339000001005062KE;1;13,85
ES0339000001005070EF;1;4,6
ES0339000001005080EV;1;5,75
ES0339000001005101TS;1;2,2
ES0339000001005130RK;1;1,15
ES0339000001005140WP;1;3,3
ES0339000001005150WH;1;4,6
ES0339000001005151WL;1;4,6
ES0339000001005152WC;1;2,3
